12,52,1066,28
15,40,1741,24
17,1,1741,1
18,171,2516,124
20,2,1299,1
21,11,1741,10
22,2,1747,1
31,9,1741,9
47,789,949,677
55,17,1741,13
58,28,2707,11
61,4,932,4
67,38,1629,20
76,2772,2707,2490
87,46,1412,31
92,13,1741,11
107,8,1686,2
126,12,861,11
150,1,1741,1
187,61,1741,58
190,2,1741,2
203,14,1741,9
221,1,1741,1
222,46,1741,34
259,159,861,78
260,42,861,26
288,5,1741,5
291,6,2489,2
293,311,1741,284
294,104,1747,99
295,15,195,6
322,142,1299,111
324,218,244,80
338,7,1741,6
346,102,861,56
350,24,861,14
357,5,949,3
364,66,585,48
388,14,1741,4
407,6,1747,6
408,11,1747,11
414,25,1741,16
418,524,195,264
422,65,1741,25
423,14,1741,4
450,3,1741,2
455,1,1741,1
501,9,1325,9
510,47,618,12
521,4,336,1
528,2,949,1
541,241,236,211
544,19,1741,16
572,31,1325,28
573,25,949,16
586,4,33,4
590,23,33,5
598,1,872,1
607,327,1741,154
613,7,810,4
614,6,305,5
615,6,861,6
637,2,1741,2
648,7,195,6
683,9,2550,8
718,265,398,146
719,13,33,3
722,8,585,3
737,1,2060,1
744,6,195,4
747,65,1298,61
749,66,1747,45
750,19,1741,8
755,31,1741,21
761,87,1741,71
767,22,33,8
785,5,1299,4
821,276,949,134
844,1,2799,1
850,7,647,4
855,16,1035,12
859,12,949,9
861,125,1325,30
874,276,1741,122
875,16,374,4
882,5,1741,3
885,1,1741,1
888,32,1741,12
903,61,872,57
916,30,2924,28
917,30,471,20
922,240,1741,187
925,1,2711,1
926,5,33,3
929,4872,471,3788
939,89,1741,60
940,110,2078,90
949,156,1299,74
951,3,2895,3
953,6,398,4
963,1,33,1
977,475,949,248
978,22,1741,15
984,2,1747,2
988,6,862,6
989,132,1741,78
997,413,1741,383
999,15,1741,14
1027,1117,1570,1011
1031,6,195,2
1037,1,1299,1
1047,104,36,36
1068,16,949,5
1081,98,1741,35
1083,1,2805,1
1084,11,195,9
1085,1,1741,1
1086,1,1090,1
1101,8,33,8
1102,306,1741,219
1108,43,949,34
1131,5,1240,5
1135,579,188,408
1143,42,3150,7
1149,2,1741,2
1153,66,862,18
1154,226,861,120
1173,27,398,21
1180,20,535,17
1186,663,1741,582
1192,73,33,31
1198,4,872,3
1269,17,949,3
1271,27,542,15
1293,54,1021,39
1298,451,551,153
1307,11,2402,3
1317,8,1299,5
1325,1,861,1
1378,1,405,1
1398,10,2152,8
1418,3,297,3
1456,1,336,1
1467,55,35,29
1469,96,64,21
1483,16,1299,16
1488,22,1741,12
1497,2337,535,1783
1501,149,535,112
1507,11,548,8
1512,12,1741,9
1513,1,244,1
1536,3,64,3
1538,2,195,1
1541,220,1741,60
1546,23,2924,8
1547,4,1741,3
1548,8,585,4
1552,59,1084,19
1571,146,1629,105
1585,285,195,97
1593,44,784,38
1605,7,1741,6
1623,3,236,2
1659,2,932,1
1668,24,1741,23
1676,201,33,193
1679,40,2711,25
1688,1,1299,1
1696,279,949,220
1720,425,535,380
1742,9,535,8
1775,44,1747,18
1814,14,1299,4
1821,16,45,13
1866,13,353,6
1887,117,122,66
1888,92,1741,90
1889,4,244,4
1890,9,1227,4
1901,4,1741,2
1917,6,195,6
1929,11,1741,5
1932,25,1506,23
1941,1,33,1
1942,805,2501,588
1945,17,398,15
1946,5,374,3
1951,3,33,2
1952,176,1185,43
1955,1,1741,1
1970,2,1299,2
1972,2,1741,2
1974,14,1741,8
1977,628,45,422
1984,226,1747,196
1987,6,244,2
1988,2,33,2
1991,1,297,1
1999,20,949,17
2008,512,195,464
2011,66,1741,36
2015,259,1747,144
2017,100,233,86
2026,12,33,12
2038,29,1741,16
2053,67,1741,43
2057,195,396,101
2069,57,1299,21
2075,27,585,15
2078,5,1747,4
2084,175,993,173
2092,55,1992,44
2096,10,2775,3
2099,3,2924,3
2104,174,861,47
2115,3,195,2
2126,3,1741,2
2145,18,1212,13
2159,31,1741,29
2167,6,535,6
2185,1449,861,1121
2187,18,1311,7
2235,1,50,1
2241,8,229,6
2255,49,784,20
2311,156,195,123
2339,1,195,1
2366,1,188,1
2372,90,1741,58
2391,1421,1741,1183
2399,4,2799,2
2404,1,1240,1
2405,655,33,501
2417,38,33,21
2420,1,648,1
2432,65,33,52
2434,31,199,11
2439,1,1741,1
2442,15,1299,14
2468,1,1741,1
2478,12,862,8
2480,28,1741,18
2482,5,481,2
2495,6,297,4
2528,3,2077,2
2539,1,601,1
2549,9,870,5
2557,71,585,38
2565,189,861,108
2577,6,949,4
2578,25,2413,9
2606,16,535,8
2627,187,33,125
2631,32,33,15
2654,8,197,2
2662,9,398,8
2664,8,981,2
2665,5,195,4
2666,128,870,62
2667,43,33,39
2674,1,398,1
2676,50,2529,25
2677,3,2798,3
2683,50,1741,38
2691,46,236,17
2692,73,949,64
2695,26,650,14
2720,1,984,1
2724,1,398,1
2734,17,3150,9
2746,1,297,1
2764,14,33,7
2768,11,1212,8
2772,15,241,10
2774,1,398,1
2776,46,33,22
2784,7,1741,5
2796,18,1741,18
2802,196,2980,95
2804,110,861,61
2806,105,2152,35
2810,7,1741,6
2817,22,2152,18
2819,10,195,3
2821,12,1747,4
2873,18,971,8
2874,669,1325,274
2886,10,949,7
2900,216,1529,185
2922,23,623,9
2942,2,2817,2
2949,4,949,3
2953,2,2853,1
2967,63,195,31
2984,4,195,2
2986,24,195,13
2995,2,1747,1
3004,8,1741,5
3021,40,195,38
3024,5,699,5
3026,23,2489,23
3079,100,1747,66
3140,57,535,42
3146,18,1741,16
3157,73,236,33
3200,1,195,1
3215,1,2933,1
3219,4,195,1
3231,7,1270,5
3252,2,1741,2
3269,8,535,8
3271,42,1741,39
3273,174,195,127
3283,17,33,17
3294,19,1747,4
3300,774,861,495
3302,3,1741,2
3311,12,398,5
3334,7,861,6
3343,7,212,6
3364,58,1920,30
