12,71,1741,34
13,1,195,1
15,115,1741,32
17,30,1741,17
18,84,1298,20
21,193,1741,130
22,103,236,74
47,169,949,108
58,13,1066,11
61,12,949,5
62,14,1298,6
66,29,1741,11
67,10,305,8
76,48,2707,47
87,11,1412,10
92,204,1741,160
94,4,1741,2
107,400,1741,342
150,14,1741,14
187,28,1741,24
203,5,1298,2
221,15,1741,10
222,24,1741,18
246,7,949,6
259,199,861,105
260,7,861,6
265,16,195,7
278,1,1741,1
280,11,33,7
288,1,1741,1
291,16,195,13
293,40,1741,34
294,87,1747,77
295,6,1261,3
322,42,1299,20
324,52,195,20
338,3,1741,3
346,95,861,77
350,14,1298,8
357,7,195,4
364,422,585,367
388,28,1741,16
407,23,1747,20
408,1,1747,1
414,14,1741,7
418,719,195,356
422,79,297,21
432,1,1927,1
450,32,1741,22
456,44,1066,20
501,6,1325,6
510,62,618,17
521,4,1747,2
528,13,949,13
541,261,236,222
544,26,1741,20
572,63,398,21
573,9,949,5
586,21,33,17
590,44,870,15
598,12,872,11
607,183,1741,82
613,36,810,18
614,42,305,42
615,70,861,46
637,4,1741,3
642,1,585,1
648,13,195,12
683,11,2550,8
714,1,195,1
718,249,398,119
722,13,585,6
744,36,984,13
747,32,1298,17
749,73,1747,58
750,38,1741,24
753,6,297,2
755,8,1741,8
761,122,1741,77
767,147,1032,90
769,16,1741,11
785,52,1299,49
821,216,949,131
844,12,585,8
850,37,647,15
855,6,236,5
859,47,949,41
861,124,1741,67
874,102,1741,57
875,15,471,5
882,36,1741,29
885,15,297,8
888,327,861,102
903,43,872,38
913,6,949,4
916,7,2924,5
917,68,471,46
922,304,1741,204
925,1,1741,1
926,17,33,9
929,1931,471,1628
940,12,251,7
949,330,1299,177
969,1,1741,1
977,851,949,448
978,1,398,1
984,6,1747,6
985,14,236,8
989,148,1741,105
997,420,1741,336
999,26,1741,18
1027,1641,1570,891
1047,52,2799,17
1068,15,195,8
1075,3,1925,1
1081,44,1741,26
1083,7,796,7
1084,18,195,7
1102,214,1741,168
1108,260,949,136
1131,3,1240,3
1135,514,188,370
1143,98,3150,21
1149,15,1741,12
1153,59,862,29
1154,2,861,2
1173,14,398,11
1180,17,195,6
1186,225,1741,163
1189,10,2799,8
1192,12,195,9
1198,3,1741,3
1199,1,33,1
1269,21,949,6
1282,1,1741,1
1293,32,1021,24
1298,569,551,203
1307,16,317,5
1317,9,1299,3
1325,65,400,56
1338,3,195,3
1398,11,2152,10
1406,3,463,3
1418,2,297,2
1420,3,439,2
1430,1,33,1
1434,171,1248,120
1467,106,35,77
1469,89,64,28
1483,20,1299,15
1488,94,1741,33
1497,1513,535,1088
1501,164,535,103
1503,109,398,95
1507,43,548,32
1512,4,1741,2
1513,2,241,1
1528,4,862,3
1536,22,1430,13
1538,1,195,1
1541,298,1741,112
1546,1,297,1
1548,2,236,1
1552,58,1084,41
1567,70,297,57
1571,241,212,98
1583,6,1741,4
1585,2,297,1
1593,58,784,52
1612,7,1869,5
1623,26,236,16
1659,1,932,1
1668,89,1741,75
1676,121,33,96
1679,80,2711,54
1688,11,1741,5
1696,251,949,127
1706,1,535,1
1720,185,535,140
1723,8,1741,6
1742,93,535,82
1775,63,1747,40
1814,6,1299,5
1821,41,45,25
1866,6,1854,2
1887,192,122,145
1888,48,1741,45
1889,28,244,8
1890,254,861,107
1901,27,2799,10
1917,1,195,1
1922,5,45,3
1929,53,398,26
1932,17,1506,6
1940,8,1741,3
1941,18,33,18
1942,223,2501,140
1945,50,195,40
1946,2,48,1
1951,3,33,3
1952,160,398,40
1955,6,1741,6
1966,2,1741,2
1970,126,1741,98
1972,6,398,3
1974,17,1741,6
1977,249,45,182
1984,136,1747,125
1987,9,1741,2
1988,6,33,6
1999,1,195,1
2008,129,195,107
2011,40,1741,27
2015,448,1747,307
2023,13,33,12
2026,16,33,15
2038,30,1747,19
2053,169,1741,127
2057,123,396,50
2065,4,50,2
2069,38,1299,17
2084,22,993,22
2092,6,50,6
2096,84,236,40
2099,3,1299,1
2104,251,861,111
2112,1,1299,1
2115,3,195,3
2126,18,1741,12
2140,5,1261,4
2145,25,405,9
2159,31,1741,17
2179,2,1747,2
2185,1249,861,795
2187,21,1299,5
2241,17,229,12
2255,108,784,70
2269,1,2385,1
2311,140,195,106
2338,3,236,2
2355,3,1747,2
2372,14,1299,11
2391,57,1741,37
2394,2,396,2
2399,5,2799,4
2404,6,195,3
2405,287,33,204
2417,18,33,17
2420,1,3211,1
2432,187,33,81
2441,2,2753,1
2468,8,1299,4
2478,32,862,19
2480,46,1741,29
2482,4,64,2
2485,2,1288,1
2495,23,1741,7
2520,1,1741,1
2528,2,868,2
2539,5,601,5
2557,38,585,20
2565,41,1741,15
2574,1,1747,1
2577,22,949,12
2578,22,2413,8
2591,70,1741,38
2606,65,535,55
2627,129,33,50
2631,21,33,11
2662,20,398,12
2664,1,984,1
2665,2,195,2
2666,161,870,84
2667,11,33,10
2674,1,1741,1
2676,6,2529,3
2677,8,195,4
2683,15,1741,9
2691,33,2775,24
2692,45,949,30
2695,4,650,2
2724,6,195,4
2734,50,3150,40
2744,8,535,8
2746,5,195,4
2764,25,33,15
2772,3,1614,2
2774,16,398,7
2776,64,33,27
2781,4,966,3
2784,7,195,2
2796,18,1741,11
2802,1,1379,1
2803,7,535,2
2806,112,195,30
2807,1,405,1
2810,2,1741,2
2817,581,2152,326
2819,30,45,13
2821,43,1185,17
2834,7,297,3
2840,1,601,1
2865,4,1240,2
2873,25,1341,9
2874,211,1325,80
2887,1,535,1
2900,279,1529,210
2922,15,623,7
2942,2,2817,1
2949,9,195,3
2953,13,471,4
2985,12,601,10
2986,30,195,13
3004,8,236,6
3021,51,195,48
3024,1,699,1
3026,29,2489,25
3032,82,1741,59
3036,20,33,13
3049,6,2830,5
3058,1,397,1
3138,1,195,1
3140,47,535,42
3141,1,2925,1
3146,41,45,16
3157,17,230,12
3200,6,195,2
3219,3,1747,2
3221,6,1741,6
3249,98,297,58
3252,7,1741,5
3269,1,535,1
3271,94,1741,82
3273,4,195,3
3283,93,33,85
3288,184,396,157
3294,22,861,6
3300,4494,861,3006
3301,3,45,2
3302,2,912,1
3310,27,884,13
3334,3,861,3
3364,241,1920,164
3365,870,45,732
3373,115,33,92
3374,43,2895,26
