1241,2
580,10
232,1
2724,11
2715,16
3111,11
331,28
2418,4
2256,1
1995,2
2963,2
2189,1
848,3
112,3
1878,15
276,1
2280,1
610,66
1827,10
3145,19
3083,14
1257,38
1085,8
1353,17
2050,1
2924,1966
2842,59
1356,9
867,21
2318,1
214,25
2685,18
1159,1
305,475
2077,295
886,13
2271,243
577,7
619,18
2628,5
1501,6
1868,1
1805,2
2017,4
155,13
122,112
1158,1
2664,15
1768,20
3081,1
450,24
3193,91
741,8
2944,5
791,26
1850,90
1048,18
2328,34
2345,26
449,21
720,15
2363,45
1378,35
805,17
747,54
60,33
566,3
1187,99
1421,5
1841,2
2861,21
2821,9
480,10
363,491
1503,5
2553,45
438,8
3016,5
1280,16
573,17
1180,46
2528,18
1950,43
645,7
1991,79
1322,9
25,275
1622,3
939,67
411,13
127,41
1938,16
2303,26
1766,211
2144,287
431,1
146,1199
709,1
3194,10
2681,15
1211,1
166,22
1044,1
1284,3
2205,2
2153,8
3197,1
2919,6
1395,18
763,142
3064,3
1327,3
142,23
966,356
811,6
2070,16
869,1273
311,3
30,335
2165,68
197,412
2865,5
1557,15
1270,125
352,9
907,4
3044,6
196,122
231,29
400,177
444,108
1357,26
250,45
76,83
458,160
1430,243
116,34
1262,44
1761,13
2859,7
2648,5
1601,124
802,65
762,122
2013,12
2214,8
1289,10
1062,7
1141,2
2732,411
72,24
2687,6
2747,24
2863,24
282,17
1660,9
2104,8
1202,35
1111,8
497,143
94,7
2852,12
118,3
1576,6
963,6
1442,83
749,4
3033,9
1173,6
998,18
669,3
2283,7
414,1
153,152
1084,173
456,637
199,1002
2157,18
2458,5
2147,1
405,367
2253,6
2787,1
2594,229
1655,5
2888,19
569,34
1629,302
2323,70
1834,34
564,67
451,4
1803,11
1206,2
2441,40
1056,13
2981,1
638,2
407,2
1310,143
2543,86
318,12
2498,4
2590,6
2324,49
3118,2
2820,64
1814,4
53,16
1901,24
909,13
808,3
36,161
2409,7
283,17
955,881
1153,13
1349,5
3099,1
1715,2
2216,31
2680,11
1741,2331
131,18
2817,483
1509,2
2516,594
3208,112
3217,1
2470,4
1562,104
2394,17
384,8
1061,87
1317,41
2967,2
2451,7
2995,1
1988,6
2800,97
190,7
2789,12
2738,3
1046,3
1944,53
2111,12
346,2
946,3
2372,28
2583,105
2459,33
1987,9
821,16
3202,15
44,129
1612,62
312,238
2172,2
100,1
1292,8
2714,30
1565,1
1106,13
457,13
2304,3
3095,139
1268,47
1859,8
110,24
468,11
258,5
711,13
1177,86
3093,2
2127,43
2396,15
1386,19
