580,5
2724,-1
2715,-7
3111,-1
331,-12
2418,0
2256,6
1995,-1
2963,0
276,1
848,-2
112,3
1878,-9
2280,0
610,-11
1827,0
3145,12
3083,-5
1257,-21
1085,-1
1353,0
2050,1
2924,292
2842,-13
1356,-5
867,13
2318,1
214,-4
2685,-9
1159,1
305,94
2077,13
886,-3
2271,5
619,2
2628,3
1501,-4
577,-5
1868,2
1805,0
2017,4
155,3
122,-3
1158,6
1768,-5
2664,-8
450,-7
3193,29
2944,3
741,2
791,0
1850,-5
1048,-6
2328,6
2345,-7
449,-6
720,-11
2363,-1
1378,-9
805,-3
747,10
60,3
566,-2
1187,62
1421,4
1841,0
2861,-7
2821,3
480,7
363,29
1503,-1
2553,2
438,3
3016,2
1280,-3
573,-1
1180,-22
1950,-12
2528,-6
645,1
1991,-9
1322,0
25,-34
1622,-2
939,-19
411,-10
127,-13
1938,-7
2303,2
1766,27
2144,-33
431,3
146,-157
709,0
3194,-1
2681,-4
1211,1
166,-11
1284,4
2205,-1
2153,-7
3197,3
2919,3
1395,-4
763,-18
1327,-2
142,3
966,69
811,-2
2070,-4
869,-216
311,-1
30,-64
2165,2
197,-5
2865,0
1557,-9
1270,79
352,-4
907,-1
196,-35
231,-15
400,-29
444,62
1357,-8
250,-6
76,-14
458,-38
1430,42
1262,8
116,-13
1761,-4
2859,4
2648,-1
1601,-55
802,-27
762,-20
2013,4
2214,-3
1062,2
1289,-7
1141,1
2732,66
72,-10
2687,-5
2863,13
2747,-9
282,-6
1660,-2
2104,-5
1202,-9
1111,1
497,-40
94,-1
2852,-1
118,1
1576,7
963,2
1442,-1
749,6
1173,-3
998,-2
669,0
2283,-3
1084,32
153,-8
456,-45
199,-218
2157,-7
2458,-1
2147,0
405,41
2253,-2
2787,2
2594,-9
1655,0
2888,-7
569,-14
1629,35
2323,-20
1834,16
564,3
451,1
1803,1
2441,15
1056,3
638,1
407,3
1310,-45
2543,6
318,-3
2498,0
2590,-4
2324,0
3118,2
2820,0
1814,-1
53,-1
1901,-12
909,1
808,0
36,40
2409,-6
283,-5
955,-78
1153,-5
1349,-3
1715,1
2216,0
2680,4
1741,507
131,-6
2817,118
1509,0
2516,-129
3208,15
3217,4
2470,-3
1562,-28
2394,-3
384,-6
1061,-25
1317,-14
2451,-4
1988,2
2800,-30
190,-5
2789,-2
2738,-1
1046,-1
1944,-14
2111,-2
946,3
2372,-18
2583,-42
2459,2
1987,-1
821,-6
3202,6
44,-17
1612,-8
312,-27
2172,-1
100,1
1292,-6
2714,-13
1106,-6
457,-6
3095,66
1268,-9
1859,5
110,-6
468,3
258,0
711,-9
1177,-6
3093,1
2127,-18
1386,4
2396,-6
884,-2
981,-289
786,14
605,-1
534,0
3169,-2
3051,-2
1728,-1
724,-1
1435,7
871,85
1563,-12
651,-12
2778,-1
1107,-1
2415,-4
2655,-61
2481,-2
1131,-77
1994,-8
911,8
33,1206
2682,0
300,28
430,-1
1716,-2
210,36
1454,0
2442,-4
922,-8
17,-17
461,-58
3084,-3
842,-19
136,-13
2918,2
464,-9
1446,3
861,228
18,-35
216,-21
732,-13
1704,-6
395,14
3017,-2
992,-6
1723,-12
1787,1
164,0
3189,-3
223,6
2571,33
957,-17
2686,-4
3192,2
10,0
2782,9
559,1
2356,1
2514,1
2668,-21
2424,2
3061,0
1782,-112
2061,-1
3003,-6
618,-6
2054,-5
1650,0
3153,-3
3158,43
272,-6
2168,-15
1234,0
2353,0
3007,4
42,0
2763,3
1923,-14
1049,3
2258,5
303,-1
421,0
3096,4
1136,-1
2801,9
1674,-3
361,-13
1387,-4
1184,-10
2210,1
1916,0
465,-11
445,4
2010,1
717,-2
1228,1
3085,-7
1892,-1
765,-4
1840,-3
2958,0
1510,-5
1719,-2
2946,0
1274,-8
85,9
332,-7
32,1
1333,-54
2822,2
2531,-8
656,-4
2559,-3
1424,53
1437,-6
1104,-2
1595,-1
271,-2
2064,-4
1052,2
1471,4
1913,-7
2006,0
2031,3
1038,-67
658,-4
535,232
1738,-7
2736,-1
1745,2
473,6
2455,-8
1456,2
369,-2
567,61
2561,8
2195,-26
1939,12
2746,-2
2390,2
41,55
685,0
1263,12
322,-3
2926,3
850,-6
1678,3
1281,3
1170,0
1272,-6
976,-1
1931,7
1014,5
2704,-2
2606,-24
2385,-9
3091,-5
1573,-21
2909,-8
1747,336
373,-1
2625,-8
1108,-33
2970,0
126,1
49,2
1160,7
1682,-3
2072,-1
2574,-1
307,-17
1811,0
2212,-3
2610,20
733,-13
1427,-13
1790,-3
936,-21
1588,-29
584,-3
56,52
495,-8
1497,-5
317,-34
3167,6
3142,-9
1269,2
2425,-31
2993,-7
680,-2
1977,-35
853,0
1341,68
2983,1
337,-1
1505,-2
161,1
293,2
2581,1
917,-2
2869,-6
2890,-4
1265,-33
2804,-59
3175,-5
2548,3
359,-13
1204,-8
1706,-7
1433,-1
568,2
1636,-3
334,34
2128,10
374,232
2297,-1
1002,-8
260,-1
3200,3
970,0
2798,6
1093,-3
2726,13
168,26
1298,7
1843,-5
2737,2
1080,1
650,-107
279,-44
2029,-4
761,0
2767,1
70,4
2612,0
2387,42
1528,-7
1733,0
1478,-5
48,5
2949,0
1764,-2
969,-19
2545,9
1155,-6
1182,6
2589,55
823,-27
2560,-5
2337,-16
435,1
2204,2
1117,-2
1244,-177
1838,-2
2383,3
2198,22
2525,1
313,-13
1078,3
2474,-12
1903,-30
2620,-21
782,-4
2530,-2
3188,0
935,37
2134,8
2881,-2
252,11
931,-2
2087,-3
1316,-20
158,8
975,4
2290,2
2463,12
1708,-15
2005,3
348,-16
714,-1
1113,-1
396,93
2154,7
1291,-2
748,5
170,0
2760,-13
1373,0
1998,5
1219,-1
2150,0
2975,60
