01119,104,188
48037,1272,2614
53033,43768,77275
48481,552,1116
37113,92,183
51690,271,588
06055,2488,4552
13083,210,463
31095,74,127
48395,236,513
37151,1831,3693
26041,171,291
40013,468,955
49037,97,256
51109,420,815
28123,358,873
53057,1608,2798
01071,501,1075
53037,728,1213
49001,44,106
05087,248,566
32019,1111,2214
13185,1670,3333
20207,24,47
29069,415,885
05017,91,216
12011,44117,77672
13165,38,79
55051,37,54
27103,707,1252
42123,277,520
48115,74,141
55121,465,879
13131,265,603
01047,400,861
05089,182,392
21145,705,1417
17113,2345,4284
17173,361,745
51065,285,521
13097,3442,7416
48293,180,382
13053,508,1342
18139,304,604
20091,10685,19457
21047,1821,4444
42045,10201,17947
51015,1035,1923
54055,260,518
47043,709,1390
10001,1985,3863
26061,126,192
54057,241,471
22085,164,334
20077,37,81
37179,2845,5905
12091,4431,8871
35033,27,56
39001,213,422
21219,158,341
20067,20,36
20093,27,57
38003,88,157
48407,542,1229
22053,423,934
45001,300,649
25017,37568,60257
45003,1772,3562
38043,24,48
36053,909,1677
42021,887,1473
51019,1172,2282
21081,539,1127
40017,2581,5308
42039,717,1330
06031,1967,4717
09007,3063,4931
48209,4827,8638
17087,104,196
12113,2958,5580
37155,1030,2414
48059,189,391
06087,4412,8030
27101,21,41
13103,770,1577
18157,2343,4289
17161,1836,3419
16047,359,894
17125,183,340
13113,2082,4380
47165,2898,5473
05147,48,103
45091,3193,6255
29115,56,111
29215,220,480
41043,2020,3843
45027,322,724
33001,1187,2016
13269,30,76
48117,163,361
19195,50,88
37161,484,989
49049,8297,19999
29209,544,1124
40137,394,846
51023,533,1000
55035,1862,3089
29149,79,182
17181,83,156
01103,1428,3211
20191,371,749
11001,23910,36578
28159,106,226
37153,338,751
53059,144,284
48331,296,604
34027,10296,17644
21039,29,69
48083,61,142
29159,498,1006
24035,676,1180
01067,292,635
19095,194,342
37187,87,211
28115,530,1242
47111,195,425
42051,1106,1946
16075,350,809
42065,464,827
46117,79,147
12111,5329,9915
36111,2258,3742
12097,9368,18485
08025,22,46
37163,1191,3238
08067,647,1112
33003,767,1274
48233,188,396
22099,1035,2204
40107,70,154
48493,802,1619
13137,424,988
21165,45,111
27117,34,61
31167,100,231
51735,176,331
37175,254,451
47131,296,583
41023,21,42
37193,374,730
40141,40,89
40035,200,422
48307,26,49
21087,82,185
21033,81,165
10005,2182,4117
26157,720,1326
08087,303,614
26079,200,392
29207,267,551
18055,469,956
13129,649,1667
26081,9144,16867
46127,234,428
51029,139,291
12123,80,165
06079,4057,6784
29177,350,707
38049,53,91
13221,173,377
21161,164,350
40091,246,571
35019,30,64
53003,378,711
30043,187,345
47005,117,240
21229,107,192
28163,190,429
51073,419,803
51101,238,456
34025,10300,16960
22071,8429,15275
17179,1991,3614
22033,8045,15238
29097,1649,3404
47033,224,473
48487,70,139
51179,3270,6913
56017,21,47
29059,213,448
04007,784,1594
21103,303,617
47109,231,508
53073,2650,4255
36001,6234,9985
06099,6391,13390
19071,99,192
48321,418,884
48245,3780,7644
28099,211,500
45089,411,875
19027,109,182
27057,257,459
30085,62,127
21019,482,1007
20145,35,73
48013,797,1796
30007,53,104
05139,242,492
21079,313,668
51670,646,1268
36105,945,1934
40125,1042,2242
29101,769,1479
42037,568,1006
19121,237,486
18043,1725,3273
51830,442,836
40057,20,44
17183,514,995
56023,111,238
53047,422,843
48135,2482,5170
13237,218,493
30105,24,38
37095,32,74
45019,8545,15692
05051,963,1827
21149,99,196
24031,24659,42951
45031,733,1569
45045,6803,13818
30001,23,38
28067,841,1896
01001,1035,2304
32021,21,41
54105,63,136
37033,345,741
37049,1651,3583
06033,526,948
18049,255,538
21207,128,298
34007,9484,17011
12059,252,557
51159,111,260
47117,547,1140
41051,21154,35348
21035,316,594
28109,519,1127
16067,372,900
12109,4075,7490
51149,848,1848
40071,470,998
21195,326,722
37011,84,173
51147,198,402
55089,1434,2329
13279,263,605
16081,97,208
26001,82,163
29031,743,1363
48063,144,350
39049,23395,42203
37139,479,956
26151,532,1045
31037,133,294
41029,2398,4185
29221,311,624
48453,40119,73502
02261,189,388
29057,53,84
19021,140,265
48437,96,232
39053,186,377
40099,110,222
22113,821,1727
29073,180,346
13205,368,880
48025,334,714
17025,125,282
01003,2039,3791
02185,79,164
51570,575,1049
12107,903,1846
41067,13405,24082
21125,665,1435
42043,4822,8333
39011,635,1177
37117,246,498
26155,953,1737
48123,274,580
06041,5360,8465
19059,140,247
21155,155,327
39131,324,687
22041,157,343
18001,260,506
39025,3611,6715
42093,346,605
49005,1620,3541
32007,652,1342
29187,765,1495
05013,24,54
04005,3039,5652
18005,1079,2336
38061,134,254
48009,148,289
20115,76,136
12055,1052,2060
24025,3707,6649
05073,33,73
29117,50,87
36015,662,1202
37057,2190,4333
41001,49,82
17169,29,46
21113,875,1782
26063,296,518
26087,1371,2524
27021,423,852
48353,133,326
39031,376,703
18085,934,1952
37021,3968,7161
51105,74,155
31155,366,681
01107,168,391
29037,1859,3536
30047,210,410
13091,134,325
29029,648,1262
47081,290,621
20185,21,40
19187,271,497
54107,590,1096
17195,512,970
01017,565,1299
21069,103,232
46077,28,53
54033,882,1834
27083,268,483
34001,3786,6789
19181,818,1536
29091,279,594
37069,1036,2270
20087,286,541
47155,1314,2618
47189,2186,4177
49045,1085,2787
48027,9295,21117
48119,47,110
48335,22,43
48285,241,489
31185,96,158
55137,333,570
21151,986,1845
38057,77,129
13021,2419,4863
49053,2035,4661
17127,87,185
53013,35,70
54039,1838,3493
45053,437,875
53005,3254,6910
13167,81,189
41041,799,1419
56033,236,396
32023,519,1005
55141,912,1603
23019,1661,2695
13259,56,114
22031,363,754
36109,1372,2131
47115,268,559
27115,433,810
55119,175,296
55101,2659,4646
19145,99,186
48457,223,471
17055,370,738
40059,20,53
13289,127,273
51185,267,559
29145,1249,2612
41039,4644,7673
28075,692,1481
32031,6464,11487
13263,81,175
20041,169,348
22057,1254,2657
17077,864,1445
29121,114,233
08107,282,497
37061,955,2546
18089,7026,13994
17103,477,888
48239,169,372
41063,23,46
51037,104,258
01127,536,1137
55027,1468,2587
05067,165,381
27049,692,1195
42057,121,220
21135,24,44
37105,1085,2960
37079,307,789
16061,69,138
37027,754,1541
54003,1196,2275
12043,160,333
34015,4606,8063
17037,1972,3416
22007,349,756
39155,2096,3735
48347,1006,1877
37097,2160,4121
40007,27,69
19065,246,454
48497,985,2118
26017,1222,2166
30003,77,183
18019,2134,4251
29003,309,611
39153,8129,13957
37101,2614,5593
27033,69,195
51177,2560,5023
55047,313,616
13245,4422,9055
41037,23,36
51790,553,1029
13281,63,131
39115,127,288
48471,1267,2255
24510,16985,30715
19029,93,158
26035,297,634
37129,3970,7288
49039,270,660
48139,2873,5729
51730,1126,2287
16053,479,1212
17187,161,318
13277,409,864
20019,26,50
47047,779,1737
54075,21,35
28127,262,626
39117,582,1133
48459,714,1563
05005,239,503
18003,3526,6634
48507,94,201
29105,308,686
19075,124,227
41007,552,984
51119,56,88
31093,53,102
21183,246,575
37125,914,1794
24041,534,972
01121,1004,2143
27019,1777,3341
36119,18102,32152
55105,1655,3004
24033,21727,40553
19161,84,149
17093,2731,5639
20015,850,1677
48313,208,414
31127,29,56
39137,292,522
48029,27903,56508
13219,554,1096
26147,1977,3459
28001,221,458
51095,1307,2451
17027,483,928
17197,12887,25362
12017,1567,2827
13267,239,576
27023,85,150
56005,405,808
37147,2525,4712
41019,1091,2033
48001,598,1218
31019,612,1102
17007,988,1949
28069,93,206
31177,270,491
08005,22609,42308
09005,2570,4144
27099,429,780
36025,455,780
08125,25,54
19099,502,963
40115,410,849
42035,332,602
39171,374,714
08093,355,652
05053,193,403
20139,214,392
51685,757,1549
17023,145,281
21159,20,53
36003,374,647
39041,3761,6714
08081,72,149
26011,202,338
08083,214,469
01091,168,371
53031,366,616
05125,1845,3592
46033,83,145
05027,182,390
19143,26,43
22091,286,703
28145,373,863
13139,2616,5627
34017,20742,37393
55037,74,115
27013,1348,2162
48141,11235,26447
50001,413,650
51590,634,1360
35025,648,1532
53055,160,257
16021,88,169
51580,104,211
17071,50,90
29011,95,221
13211,183,396
19131,43,99
26047,405,758
51007,159,320
20113,322,595
18149,316,670
21025,27,61
40105,133,287
37039,85,167
48237,52,96
13039,719,1664
48473,910,1997
48095,24,43
31043,399,884
21045,108,258
48229,40,94
51033,569,1183
05011,24,44
05023,277,618
20027,48,107
29085,87,184
18127,2548,4786
46027,201,309
54065,110,211
49017,23,48
51700,5530,10963
44009,2083,3237
54109,76,148
17163,3504,6877
45057,911,1990
38041,37,75
45035,3542,7280
20051,249,384
16013,141,261
13051,4890,9582
48071,974,2133
46037,33,52
21061,142,277
47073,822,1739
48235,32,67
21121,412,889
47183,325,644
48079,25,64
42121,476,867
48105,30,65
12075,686,1492
13291,146,307
42101,29373,49767
22115,1089,2813
48445,104,219
05033,881,1809
17109,264,457
34029,7742,12863
26133,336,703
27131,908,1638
48097,664,1335
42075,1365,2355
48091,2913,5796
13065,22,54
41013,223,410
12033,5911,10980
47179,1882,3523
55139,3005,5211
37015,216,493
48179,158,333
31157,242,471
01105,88,219
17053,228,392
51013,14023,20612
26099,13705,25166
17091,1075,2023
17147,207,395
26091,1047,1955
26113,136,313
25011,1040,1643
48271,20,53
19073,48,104
51520,410,801
51003,2208,4008
04019,12209,22799
29009,601,1282
26165,349,684
18033,647,1237
18117,166,343
05029,284,628
40151,45,93
36059,23275,39776
23005,5049,7723
47015,240,482
