195,949,2040,13159,18465
949,195,1480,8488,12284
396,33,1085,16554,28931
33,396,1078,19238,35528
195,984,820,7195,10903
984,195,767,5373,8011
2799,585,608,8264,12087
195,33,601,2392,3115
585,2799,590,6832,9279
869,33,515,11245,23634
2524,1425,515,10744,19270
1425,2524,470,15819,29394
33,195,457,1790,2207
1920,64,450,8183,14262
1741,861,441,5429,7806
33,869,438,15750,35602
64,1920,427,8638,15119
2026,195,383,5945,11184
1869,2152,368,10048,18861
2152,1869,363,10538,20780
146,3150,359,8750,16107
861,1741,357,3099,4095
1035,45,354,3934,7336
870,33,342,5139,8309
3150,146,333,7245,13321
1299,1741,328,2798,3501
923,535,327,9474,16575
195,2026,324,8383,16555
398,1741,322,3681,5749
397,33,320,6679,13274
33,870,316,5334,8986
2254,601,313,5285,8502
1741,398,311,4908,8445
1782,2152,305,8603,15710
1066,2707,298,6396,11243
2078,64,297,4469,7841
195,2260,286,2679,3943
2152,1782,282,10053,19692
2260,195,277,1851,2601
3180,2924,275,9650,19660
33,397,275,9230,19877
456,1686,264,6706,12748
64,2078,262,4918,8944
1796,2152,260,6562,11784
33,1325,259,4999,9808
2152,1796,257,7663,14881
244,1261,253,3531,5422
981,195,248,2234,3008
1325,33,247,2787,5350
2799,586,247,5205,8681
459,45,242,2894,3876
586,2799,241,4071,5825
601,2254,240,5101,8362
2924,3180,238,12948,29334
2490,33,233,4453,7665
2707,1066,233,7306,14134
1741,1299,233,1774,2536
535,923,227,11178,21698
397,396,225,5643,11435
45,1035,224,4845,9177
1741,33,216,1823,2273
33,1741,213,1888,2349
890,50,212,6151,10724
1686,456,209,8207,16400
1261,244,208,4600,8326
551,195,207,2377,3503
535,33,205,1939,2765
1902,45,204,2231,2591
869,397,202,9613,21605
1288,45,200,1484,2049
336,1747,200,6757,11099
65,64,199,3157,5903
45,459,198,2950,5021
241,1261,197,2979,5330
199,195,195,1273,1769
647,195,194,1399,2027
50,890,194,6591,11913
2775,236,191,3950,6084
33,2490,189,5412,10020
984,949,186,8639,15502
397,869,185,8408,18641
1185,1747,182,5640,9746
1154,297,181,6878,12578
195,551,181,2815,5592
297,1154,180,8967,17212
949,984,179,11611,21293
195,1741,179,1376,1656
396,397,176,7254,16242
195,1425,174,903,1318
45,195,174,931,1070
1741,195,172,826,998
926,535,172,5048,9286
195,647,166,1583,2925
1529,623,163,2703,4241
876,471,162,7727,13782
1425,195,159,622,858
869,396,156,3199,6029
45,1288,155,1297,2152
1747,1185,154,7324,14044
1299,398,153,3787,6627
1747,336,152,9061,16214
45,1902,152,1555,1999
195,981,150,1969,3544
2924,297,149,3477,6032
1261,241,145,3753,7145
623,1529,145,3069,4984
125,1021,144,3112,5948
2826,2358,144,3470,6253
398,1299,143,3381,5993
649,195,143,762,1085
2799,195,143,728,872
195,199,143,1156,1797
861,1299,143,3787,7076
924,535,143,5456,9293
2524,3134,143,7318,12689
870,396,142,3173,5386
471,876,141,8458,15755
374,33,141,2142,3812
51,48,140,3768,6202
496,50,140,4194,8017
595,146,140,3924,7882
1266,2924,140,6220,12382
862,861,139,5395,9651
64,65,138,3275,6392
861,862,137,7107,14066
1125,784,137,1931,3241
1038,2799,137,1608,2437
33,861,135,1933,2982
236,2775,135,4020,6337
981,199,134,5374,9461
1299,861,133,5104,10399
2358,2826,132,2627,4387
397,870,128,4572,9149
396,870,127,3494,6060
535,195,127,1027,1278
984,981,127,7733,16207
1869,1796,125,3826,7676
981,984,125,4468,7849
48,51,124,4423,7032
2925,297,122,1956,3361
3134,2524,122,5697,9393
374,2613,122,1845,3490
2060,195,120,525,790
199,981,118,3819,6508
33,535,118,1136,1669
1261,195,117,676,868
1128,297,117,1814,2868
784,1125,117,2308,4940
297,2924,116,2081,3317
