40055,24,60
30073,21,45
37193,405,729
29067,123,298
29155,141,317
38071,87,172
41033,1077,1924
47049,77,157
56039,151,315
41039,4563,8007
17103,467,895
13215,4507,9893
13179,1782,4348
12041,296,671
26043,242,421
53033,46874,77454
29035,26,56
48369,53,149
48103,31,71
01025,184,431
21149,104,223
26063,300,559
16081,82,172
19033,350,631
21015,2844,5622
25009,11619,19576
22053,347,736
28013,39,105
21061,125,293
45017,300,625
48235,21,43
55137,326,645
42055,1408,2559
36115,1031,1842
13071,271,657
47095,37,82
21091,96,222
21039,50,104
36105,998,1835
26159,1150,2344
45031,646,1391
06037,109391,187997
16013,147,304
40119,941,1792
53013,38,83
02122,598,1075
32033,48,90
47175,56,117
30029,978,1788
55037,37,75
40143,10371,20891
48009,178,348
39005,746,1449
06027,131,238
18023,369,784
39175,285,567
12131,1127,2149
13175,202,442
22015,2683,5686
37059,582,1154
54081,517,1063
12051,649,1493
31153,4431,8804
37105,833,1919
39031,352,699
51595,101,226
27085,473,860
19021,101,203
24510,15303,25995
02185,35,64
30043,202,406
54045,136,304
18063,3556,7048
47043,770,1577
06055,2379,4438
08109,28,75
42133,5314,9559
21163,514,1139
28059,1834,3884
46083,1742,3187
55019,402,863
47073,717,1527
36043,604,1130
55111,1121,2062
13109,81,184
51147,184,389
13189,193,413
47003,627,1335
47121,205,451
37087,450,846
47091,27,50
48145,184,395
46135,193,350
41061,145,264
17033,50,105
41007,498,902
51830,387,711
51630,1199,2280
33009,1512,2452
51071,135,276
22119,445,969
01117,4376,8683
48469,1295,2483
13227,637,1310
06025,1742,4272
19183,257,507
55073,1450,2672
29001,107,249
56041,123,286
36027,3671,6462
27141,2222,4263
48437,60,141
19195,87,162
02090,1191,2638
19157,156,285
29091,241,494
37179,3417,7893
13069,188,452
39075,382,771
55117,1115,2044
49003,761,1884
35041,201,407
53015,1401,2882
31127,21,49
18005,1055,2261
13033,226,533
27031,23,36
28035,1767,3622
46109,27,57
27033,55,125
13085,618,1246
31041,44,82
46103,1639,2989
38093,88,147
29003,344,677
49007,163,369
36099,376,666
26075,1566,2964
37081,8071,15353
01115,1616,3353
13257,216,534
34027,9424,16664
18053,543,1114
21165,31,77
18115,94,192
01125,1824,3679
37009,102,215
06105,76,128
48123,251,512
26077,3542,6083
51036,79,148
13281,65,135
19083,149,295
22067,204,460
48397,2464,5362
51195,273,570
48289,258,602
42045,10324,18451
19189,78,153
27147,413,770
48121,25696,50949
29073,150,293
19043,177,317
13261,113,244
48171,301,574
13153,2065,4377
50005,295,543
42107,1216,2242
51163,249,522
56011,54,109
47141,871,1710
55017,1043,1867
30015,26,59
41043,2117,4106
47115,257,557
39113,7160,12687
13063,9758,21240
48081,34,54
13183,360,940
19017,295,598
08081,62,162
48025,295,611
18153,208,424
48115,71,158
29027,587,1151
41001,60,111
40039,311,665
22001,949,2122
01027,120,277
13169,420,947
26099,14162,26514
31067,203,393
