twitter14,IRS14,IRS14exempt
57,2439,4252
56,815,1459
56,746,1143
56,715,854
56,1303,2066
56,2039,3823
56,326,425
56,313,546
55,1606,3007
55,2634,4921
55,222,293
55,5695,12642
55,372,495
55,870,1558
55,2491,5014
55,1235,2527
55,1302,2782
55,1819,3358
55,374,548
54,2484,5768
54,1010,1630
54,2051,4425
54,607,884
54,1764,2868
53,810,1347
53,1591,3197
53,396,505
53,1787,3237
53,187,288
53,315,512
53,2011,4002
53,363,597
53,2045,4195
53,1812,3505
53,2057,3385
52,584,746
52,169,229
52,1343,2348
52,341,592
52,1908,3505
51,1699,3038
51,2730,5679
51,2355,4448
51,1578,3016
51,810,955
51,1295,2168
51,507,782
51,1060,1939
51,1210,2383
51,2270,4382
50,690,1112
50,814,1331
50,202,320
50,641,997
50,0,0
50,212,363
50,2536,5378
50,2069,3545
50,197,288
50,890,1541
50,93,124
50,242,368
50,2296,4234
50,504,814
50,377,675
50,859,1383
50,428,604
49,634,962
49,1841,3581
49,470,686
49,1447,2737
49,2587,5860
49,201,318
49,2317,4150
49,418,568
49,400,530
49,146,240
49,2283,3993
49,1410,2494
49,366,442
49,1344,2428
49,587,916
49,274,420
49,662,1001
49,2376,4477
48,411,477
48,674,1061
48,1329,2433
48,0,0
48,600,943
48,1781,3411
48,870,1469
47,2608,4903
47,505,858
47,2026,3477
47,304,520
47,2017,3483
47,398,806
47,318,461
47,411,658
47,1829,3120
47,1080,1921
47,185,244
47,2129,4025
47,146,220
47,604,760
47,399,673
46,452,765
46,320,419
46,690,989
46,255,381
46,1140,1875
46,1440,2551
46,1528,2879
46,1911,4105
46,1305,2236
46,1924,3377
46,1447,2742
46,416,787
46,620,1085
46,479,556
45,1467,2567
45,598,896
45,1051,1660
45,766,1062
45,1444,2303
45,1548,2934
45,433,602
45,438,547
45,559,824
45,777,1397
45,0,0
45,1451,2610
45,767,1331
45,314,492
45,3417,6007
44,1855,3108
44,1056,1789
44,285,460
44,436,730
44,1659,2965
44,445,555
44,1198,2201
44,2272,4391
44,1287,2576
44,581,766
44,1869,3483
44,1417,2639
44,1307,2319
44,2342,4731
43,1108,1849
43,862,1456
43,1122,1949
43,736,1556
43,198,344
43,0,0
43,554,834
43,532,738
43,456,621
43,1632,3214
43,566,932
43,631,981
43,784,1395
43,2886,5637
43,2191,4457
42,701,1204
42,1679,3499
42,1171,2291
42,912,1479
42,407,655
42,137,184
42,297,442
42,621,959
42,3240,6391
42,1566,2993
42,2563,4735
42,592,987
42,139,190
42,691,993
42,1832,3388
42,1014,1622
42,1346,2754
42,2778,4409
41,559,1111
41,2239,4455
41,993,1758
41,1817,3177
41,892,1373
41,1354,2375
41,977,1826
41,370,597
41,626,948
41,1010,1816
41,1582,2521
41,1414,2625
41,2108,3807
41,307,445
40,1396,2559
40,1082,1848
40,1068,1794
40,103,163
40,232,279
40,2493,4878
40,1456,2231
40,202,340
40,1192,1903
40,1211,2364
40,207,251
39,292,458
39,1730,3525
39,1752,2919
39,767,1626
39,487,736
39,2910,6147
39,60,96
39,1465,2400
39,1452,2890
39,777,1292
39,647,1272
39,1052,1882
39,0,0
39,716,978
39,436,764
39,1534,3455
38,1621,3095
38,1098,1967
38,992,1780
38,431,698
38,231,374
38,610,789
38,1537,3114
38,1305,2708
38,438,492
38,1468,2633
38,246,409
38,651,1075
38,2161,3755
38,545,882
38,445,769
38,732,1013
38,893,1829
38,1364,2384
38,1883,3943
38,347,541
38,1957,4305
