twitter15,IRS15
2119,7281
1690,10955
1240,13709
1190,15621
1035,4683
653,1927
608,5552
594,5388
566,9024
546,5890
522,1474
513,9425
504,5501
496,6468
447,12655
410,4322
389,2572
379,8301
375,5654
375,4261
367,7055
338,13581
335,3808
321,6860
318,1448
314,7461
314,2406
306,8800
300,3605
298,5321
296,2001
291,3220
281,5399
271,8433
270,6833
270,3839
270,4943
268,3625
264,2514
262,3941
261,2197
260,7355
260,4599
259,2902
252,5234
252,2103
246,1356
239,4954
234,2419
233,5657
232,2299
228,1150
226,4653
226,1164
226,2055
223,3926
221,7541
220,747
216,7430
216,3267
212,5445
210,3112
208,1524
206,1584
204,5206
200,1438
198,5925
195,6205
192,585
192,2500
192,3943
191,3930
188,2539
187,3661
186,2183
184,4536
182,1559
181,10576
181,3950
176,1452
173,10309
170,8441
167,7969
167,662
166,2854
165,4371
164,975
164,4327
163,6135
163,1579
160,683
159,6650
158,2525
157,4077
156,2151
155,7032
155,2108
154,3075
153,475
150,737
150,4277
149,556
147,1423
147,1786
146,833
145,3659
144,3028
144,6527
141,6079
139,2973
139,7994
139,5161
137,1228
137,553
136,1071
135,984
134,2374
133,1171
132,1218
132,4192
131,3534
131,5701
130,5943
129,1411
128,3332
126,5206
125,961
125,3151
124,2674
124,3176
124,4026
124,2487
122,2546
122,2421
122,898
121,3160
120,6631
120,1401
120,1772
119,3109
119,882
118,5514
118,2914
118,2688
116,638
115,2576
115,3153
114,541
114,2175
114,1287
113,7169
113,1108
113,4801
112,1360
112,2850
112,2587
111,739
111,3834
111,1462
110,2838
110,1960
109,2358
109,2224
108,2589
107,1707
106,225
105,1581
105,469
105,2627
105,3817
103,2190
102,4114
102,663
100,2590
99,2410
99,2198
99,844
98,2934
98,2143
97,1317
97,837
96,2747
96,2107
95,4400
94,1658
94,1588
94,310
94,535
94,3319
94,496
93,1691
92,1514
92,2549
92,782
91,1554
91,2917
91,2966
90,1324
89,1197
89,1981
88,1589
88,1470
88,1911
87,2699
87,1352
87,2319
85,1067
85,2481
85,1918
84,521
84,830
84,2641
84,3332
84,6446
84,4303
84,3830
84,690
83,1770
83,1321
83,1475
82,5021
82,1555
82,2853
81,2344
81,947
81,1433
81,375
81,3924
80,1283
80,1391
80,1583
80,215
79,158
78,2023
78,0
77,6689
76,326
76,503
76,2039
76,1318
76,1360
75,2248
75,1919
74,322
74,773
73,4194
73,3630
73,3726
72,2304
72,1472
71,4209
71,1099
71,3637
71,1884
71,931
71,479
70,693
70,2436
69,3421
69,503
69,353
69,984
68,1353
68,1671
68,2412
67,631
67,406
67,2748
67,2826
67,234
67,215
67,1559
66,674
66,1385
65,1237
65,2451
65,190
64,1303
64,372
64,1803
64,433
64,1121
63,1359
63,2782
63,1514
63,2325
63,274
63,550
63,620
63,1506
62,2308
62,368
62,1567
62,3461
62,3701
61,3581
61,421
61,1559
61,1387
60,1286
60,2513
60,2509
60,590
60,619
60,1139
59,860
59,2191
59,3366
58,773
58,758
58,1761
58,567
58,656
58,203
58,2111
57,608
57,2295
57,2083
57,1835
57,217
57,1201
56,3224
56,136
56,1744
56,1329
56,2160
56,723
55,600
55,1875
55,620
55,0
55,1071
54,688
54,955
54,1040
54,1299
54,1482
54,2117
53,2344
53,147
53,335
53,2302
53,1126
53,913
53,314
53,1922
53,677
53,768
53,1336
53,4239
53,53
53,405
52,294
52,2215
52,250
52,182
52,931
52,1809
52,1933
52,261
52,433
51,100
51,275
51,0
51,994
51,565
51,773
51,1588
50,1578
50,2144
50,1109
50,440
50,305
50,1343
50,545
50,517
50,224
50,2243
50,1696
50,303
49,108
49,2266
49,746
49,1808
49,376
49,1233
49,797
49,1021
48,302
48,1359
48,919
48,622
48,1123
48,1139
48,1192
48,1025
48,1198
48,461
47,254
47,625
47,280
47,163
47,1785
47,3372
47,439
47,1840
47,1795
47,280
47,798
47,464
47,991
47,1802
46,850
46,184
46,397
46,1234
46,196
46,437
46,356
46,903
46,994
46,2710
46,1503
45,557
45,721
45,771
45,4227
45,548
45,1266
45,446
45,1043
45,337
45,95
45,2256
45,104
45,3256
44,1441
44,799
44,320
44,827
44,653
44,2129
44,2997
44,278
44,1268
44,967
44,574
44,334
43,859
43,292
43,1485
43,2426
43,1645
43,1639
43,1216
43,2739
43,865
43,1928
43,1289
43,1055
43,516
43,163
42,744
42,916
42,1460
42,744
42,0
42,1320
42,1449
42,1052
42,124
42,0
42,183
42,418
42,82
42,1472
42,1756
41,806
41,1512
41,3150
41,2091
41,187
41,2123
41,717
41,1552
41,0
41,1744
41,1492
41,519
41,375
41,332
41,1090
41,584
41,1359
41,263
41,316
40,631
40,453
40,413
40,216
40,357
40,1251
40,125
