2518,7
1143,1
2223,12
1540,6
1222,6
1966,1
811,3
912,83
741,1
1626,5
2527,16
3205,159
2740,15
1401,3
1023,2
395,104
2338,77
2827,3
2196,2
1290,10
1403,7
204,30
84,7
964,100
109,5
2274,4
1278,1
1908,1
1081,6
189,31
2940,11
1058,2
1482,1
2262,190
1356,6
1070,14
1783,1
643,5
67,73
3065,12
159,10
3135,3
609,72
2761,6
1999,6
1838,7
307,233
3182,125
1363,124
3017,2
777,1
2244,23
2448,317
56,242
1317,29
2279,4
1340,3
957,15
804,3
2723,216
2316,1
2882,96
869,822
3016,3
2204,1
136,15
3008,135
358,12
2974,62
2275,3
1687,16
1255,3
2468,4
2823,3
2462,6
1664,12
1194,14
784,1398
2892,3
617,8
2592,2
972,150
1843,3
222,20
2272,6
1231,3
2847,2
2456,2
2976,1
767,27
536,2
1393,9
3079,1
1169,1
1779,1
1108,24
2654,28
1864,72
662,2
215,5
2828,3
2867,1
1229,16
2555,4
1243,6
131,7
1209,4
2261,43
195,10409
2009,6
1316,36
1101,2
122,72
299,43
1314,4
3133,29
3105,89
151,2
3011,1
1464,1
2374,14
2663,90
1485,20
2295,1
506,73
731,60
2746,11
700,34
376,58
2748,9
1813,5
1128,930
1763,8
1109,3
3200,3
448,38
879,15
947,3
2561,85
342,2
1632,1
1929,15
1334,100
419,3
1658,2
2751,1
3150,715
3151,6
1266,176
2378,14
1635,5
2531,66
1634,3
1837,1
1153,13
1684,3
2276,2
1161,10
2805,158
1994,10
522,12
1557,5
1458,24
745,27
1879,5
1196,4
2841,6
939,49
1569,19
980,68
563,4
1289,5
1969,1
374,1531
2110,6
1441,13
429,7
2738,2
1283,8
1923,33
1387,2
2886,1
1150,4
904,8
478,5
1624,87
1599,35
2199,12
845,1
2673,3
3120,12
1874,20
877,10
2874,5
334,71
1301,2
1136,1
2147,1
2257,6
123,5
225,3
1822,1
432,3
1901,11
1211,1
1728,4
264,14
1450,2
49,57
513,2
2884,12
459,499
2895,188
1216,1
1002,9
917,1
2254,470
1661,6
490,7
691,5
2821,3
2716,1
2782,8
1529,304
1452,3
2573,3
1546,37
844,89
325,22
7,128
231,12
1093,3
492,3
1048,17
1709,4
1785,3
2258,25
473,25
2703,10
2195,53
2794,10
2383,10
2150,1
1288,579
1364,562
2538,4
1063,1
1494,163
722,3
425,3
2130,10
1502,6
978,14
1268,41
887,2
2312,1
2414,56
1302,8
1956,9
352,10
3038,8
402,3
648,98
2328,23
3206,26
2288,16
2013,8
2324,34
1246,2
661,37
2290,12
1198,15
2578,4
1955,94
2931,10
2242,3
1859,7
2540,15
406,3
2929,52
2658,2
2621,13
408,1
2765,17
2216,31
2382,33
2205,1
226,12
2335,3
729,5
127,48
357,22
2214,2
1775,19
2030,4
271,7
734,7
503,5
582,34
2820,48
1167,10
2896,2
2668,17
2865,2
1457,46
3028,5
348,39
2309,3
1991,51
2662,12
605,3
956,9
1514,1
2412,61
666,11
3171,7
1759,1
2376,5
2375,4
894,2
3125,5
3187,41
3154,141
2816,20
2545,35
1272,10
421,1
639,1
1425,2006
3156,16
2523,70
950,55
806,7
1881,2
1195,3
1319,5
254,111
1190,13
2534,154
1820,8
560,1
2698,292
1804,11
595,230
3039,1
1055,5
3104,6
219,10
3052,20
2058,62
2872,70
1839,2
1047,8
860,50
965,209
1439,3
584,5
10,2
2962,1
2699,8
1354,6
1717,1
510,29
1998,2
2372,21
1570,194
1578,2
578,95
312,162
1685,7
36,199
1933,8
598,106
2854,94
986,34
2209,5
1575,24
1596,40
2960,7
2253,4
1641,1
1381,10
1208,3
2733,75
2306,12
606,1
545,59
1872,2
1793,1
2525,1
1032,284
1175,64
1380,8
3152,9
1300,1
1611,106
341,2
781,8
1863,2
1366,2
1312,1
517,4
518,6
1242,23
210,117
2517,3
317,163
2373,3
2136,2
824,4
2165,48
2995,1
2524,1100
2819,262
2766,41
1299,1050
1155,17
1370,140
344,23
1616,1
657,2
3183,3
128,2
1810,3
1772,2
327,4
157,6
3180,282
1360,1
391,7
1905,3
144,4
1084,256
3143,47
2263,22
1506,451
3162,94
2546,10
2530,12
2248,1
720,5
1827,9
2773,12
2298,5
1434,1
1045,9
2070,1
3167,9
1936,2
2971,3
1256,135
1742,6
2061,67
798,62
1807,3
1358,6
472,5
2432,4
1960,22
757,18
791,16
168,49
2033,3
1428,1
1270,160
1443,6
259,10
1371,132
923,398
1614,27
2323,57
1602,5
447,63
2155,2
392,1
208,3
1220,5
3024,10
2188,3
1318,8
277,1
2427,6
2832,2
1486,14
1221,23
1269,23
2786,1
1180,27
579,2
1098,8
2163,1
184,127
1431,3
774,9
2879,23
920,12
1315,4
1798,1
524,2
205,13
1466,19
2405,8
3056,1
1469,4
193,11
1028,1
971,131
2988,1
1564,3
251,292
1083,33
2054,1
304,2
2416,1
1701,6
2655,135
2027,21
812,2
2183,81
2736,27
2611,17
2562,1
915,1
3204,1
2862,1
1001,3
1588,21
2584,24
21,14
882,346
229,239
1945,4
2560,1
481,103
645,8
1715,1
70,5
2297,3
840,75
2107,2
2217,16
2585,313
2959,9
2434,2
2392,23
1123,89
1200,4
331,17
152,57
2467,4
2528,6
607,3
2825,13
3083,3
1007,6
646,97
1106,7
2172,1
2020,3
602,1
2795,3
368,25
95,5
173,13
300,88
2574,1
1816,114
60,21
1187,123
2632,3
449,14
737,2
2250,17
1619,9
3085,12
1095,1
1788,9
1223,30
2241,2
1808,2
343,3
1711,53
551,524
1971,17
3194,9
2037,147
463,76
615,174
1875,5
267,13
1970,2
318,2
417,22
1639,2
1876,5
428,1
3046,9
32,14
1453,12
252,1
1645,6
1426,129
2457,8
1660,4
3035,1
1752,184
2237,14
466,1
1481,5
3063,1
1206,1
2564,61
2800,55
3020,36
2273,39
558,15
987,5
1585,306
519,6
1574,36
248,70
1343,52
921,3
1819,6
2355,2
2533,54
1704,36
3089,4
142,9
2299,3
2454,16
1949,11
372,7
1188,27
6,6
993,8
1594,2
2503,3
911,31
415,2
2389,158
147,1
2337,41
411,4
250,31
2745,1
3113,15
3202,13
2143,40
990,22
2750,3
3122,1
885,2
2181,3
89,2
842,36
3048,23
505,10
377,3
830,14
1447,4
443,12
2989,67
201,3
2706,1
1275,172
2999,2
244,454
2424,12
1918,2
102,211
2134,9
856,1
1997,8
366,2
782,5
1885,26
3088,4
1671,7
2334,10
2588,2
2858,3
2532,85
1862,27
164,49
1412,76
1438,57
467,1
2045,15
583,696
454,2
167,1
2635,2
2916,7
2570,2
809,2
913,8
1249,1
833,9
2321,182
1259,3
1740,338
1555,2
2175,2
2550,1010
1416,18
509,4
2610,46
1903,52
1499,4
769,4
1179,15
1212,184
1348,4
2487,5
1274,6
629,1
2954,1
3025,7
1590,9
469,1
1649,2
461,121
3142,21
3144,1
2100,1
995,18
2083,15
2559,2
2121,5
216,93
3026,17
594,14
1749,3
2458,1
803,13
1162,8
437,26
1628,15
3214,3
2060,196
1675,178
1568,4
2661,18
2278,8
2652,4
2831,5
1092,191
1065,1
2169,4
261,9
1598,3
380,113
2305,37
213,16
356,8
2514,5
365,29
1673,84
1379,315
27,3
1024,10
2707,624
2975,119
240,34
397,842
1938,14
2116,91
354,4
1695,1
2451,5
1823,14
1648,2
2154,8
76,91
1476,5
704,2
249,26
1758,14
389,2
1415,3
2810,3
1725,2
1928,1
573,7
1532,11
1980,5
2599,3
819,7
400,135
3099,1
3060,23
2167,7
1165,8
2628,2
613,5
2725,112
2266,1
217,808
2901,1
214,23
728,3
2402,478
589,7
733,34
59,105
1079,3
2520,1
766,3
1445,1
753,174
1646,248
1979,4
3103,4
2385,3
3096,19
3196,1
